out,row_names
1,GBAA0001
1,GBAA0195
1,GBAA0427
1,GBAA0516
1,GBAA0587
1,GBAA0592
1,GBAA0664
1,GBAA0665
1,GBAA0700
1,GBAA0892
1,GBAA0963
1,GBAA0964
1,GBAA0969
1,GBAA1010
1,GBAA1025
1,GBAA1026
1,GBAA1118
1,GBAA1119
1,GBAA1169
1,GBAA1248
1,GBAA1258
1,GBAA1306
1,GBAA1450
1,GBAA1507
1,GBAA2203
1,GBAA2493
1,GBAA2494
1,GBAA2732
1,GBAA2828
1,GBAA3355
1,GBAA3434
1,GBAA3483
1,GBAA3571
1,GBAA3620
1,GBAA3791
1,GBAA3904
1,GBAA3905
1,GBAA4102
1,GBAA4172
1,GBAA4298
1,GBAA4321
1,GBAA4344
1,GBAA4370
1,GBAA4534
1,GBAA4570
1,GBAA4637
1,GBAA4639
1,GBAA4909
1,GBAA4924
1,GBAA5070
1,GBAA5078
1,GBAA5134
1,GBAA5257
1,GBAA5298
1,GBAA5339
1,GBAA5452
1,GBAA5502
1,GBAA_PXO1_0048
1,GBAA_PXO1_0072
1,GBAA_PXO1_0145
1,GBAA_PXO1_0184
1,GBAA_PXO1_0197
2,GBAA0002
2,GBAA0003
2,GBAA0004
2,GBAA0005
2,GBAA0020
2,GBAA0021
2,GBAA0029
2,GBAA0030
2,GBAA0045
2,GBAA0203
2,GBAA0205
2,GBAA0285
2,GBAA0323
2,GBAA0402
2,GBAA0564
2,GBAA0572
2,GBAA0630
2,GBAA0883
2,GBAA0994
2,GBAA1046
2,GBAA1047
2,GBAA1141
2,GBAA1369
2,GBAA1481
2,GBAA1509
2,GBAA1513
2,GBAA1547
2,GBAA1548
2,GBAA2079
2,GBAA2264
2,GBAA2345
2,GBAA2582
2,GBAA2599
2,GBAA2655
2,GBAA2656
2,GBAA2766
2,GBAA3055
2,GBAA3063
2,GBAA3400
2,GBAA3718
2,GBAA3729
2,GBAA3757
2,GBAA3796
2,GBAA3846
2,GBAA3910
2,GBAA3914
2,GBAA3928
2,GBAA4011
2,GBAA4013
2,GBAA4036
2,GBAA4037
2,GBAA4038
2,GBAA4046
2,GBAA4057
2,GBAA4159
2,GBAA4163
2,GBAA4195
2,GBAA4393
2,GBAA4404
2,GBAA4521
2,GBAA4572
2,GBAA4642
2,GBAA4664
2,GBAA4681
2,GBAA4697
2,GBAA4706
2,GBAA4737
2,GBAA4738
2,GBAA4795
2,GBAA4815
2,GBAA4822
2,GBAA4823
2,GBAA4824
2,GBAA4845
2,GBAA4846
2,GBAA4847
2,GBAA4848
2,GBAA5175
2,GBAA5176
2,GBAA5380
2,GBAA5439
2,GBAA5575
2,GBAA5576
2,GBAA5669
2,GBAA5670
2,GBAA5695
2,GBAA_PXO1_0201
3,GBAA0006
3,GBAA0012
3,GBAA0048
3,GBAA0049
3,GBAA0062
3,GBAA0063
3,GBAA0064
3,GBAA0086
3,GBAA0108
3,GBAA0157
3,GBAA0166
3,GBAA0266
3,GBAA0267
3,GBAA0321
3,GBAA0322
3,GBAA0344
3,GBAA0757
3,GBAA0782
3,GBAA0796
3,GBAA0880
3,GBAA1012
3,GBAA1041
3,GBAA1071
3,GBAA1072
3,GBAA1155
3,GBAA1163
3,GBAA1178
3,GBAA1213
3,GBAA1214
3,GBAA1314
3,GBAA1366
3,GBAA1483
3,GBAA1503
3,GBAA1506
3,GBAA1531
3,GBAA1532
3,GBAA1533
3,GBAA1536
3,GBAA1597
3,GBAA1598
3,GBAA1624
3,GBAA1651
3,GBAA1727
3,GBAA1728
3,GBAA1998
3,GBAA2189
3,GBAA2237
3,GBAA2311
3,GBAA2312
3,GBAA2342
3,GBAA2606
3,GBAA2899
3,GBAA2900
3,GBAA2916
3,GBAA2944
3,GBAA2948
3,GBAA3288
3,GBAA3427
3,GBAA3440
3,GBAA3486
3,GBAA3486_S
3,GBAA3594
3,GBAA3608
3,GBAA3659
3,GBAA3727
3,GBAA3738
3,GBAA3858
3,GBAA3951
3,GBAA3952
3,GBAA3988
3,GBAA3990
3,GBAA3994
3,GBAA3998
3,GBAA3999
3,GBAA4000
3,GBAA4001
3,GBAA4156
3,GBAA4187
3,GBAA4190
3,GBAA4194
3,GBAA4203
3,GBAA4241
3,GBAA4283
3,GBAA4408
3,GBAA4409
3,GBAA4421
3,GBAA4422
3,GBAA4423
3,GBAA4484
3,GBAA4485
3,GBAA4488
3,GBAA4489
3,GBAA4499
3,GBAA4500
3,GBAA4515
3,GBAA4516
3,GBAA4524
3,GBAA4607
3,GBAA4614
3,GBAA4615
3,GBAA4632
3,GBAA4641
3,GBAA4646
3,GBAA4647
3,GBAA4665
3,GBAA4693
3,GBAA4694
3,GBAA4696
3,GBAA4701
3,GBAA4702
3,GBAA4793
3,GBAA4832
3,GBAA4843
3,GBAA4844
3,GBAA4852
3,GBAA4861
3,GBAA4931
3,GBAA4932
3,GBAA4933
3,GBAA4947
3,GBAA4948
3,GBAA4949
3,GBAA4977
3,GBAA5087
3,GBAA5088
